instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Djibouti,12575,485.52,68.4014781190001,5,5,20
Djibouti,12407,601.2,68.40136912000003,10,5,20
Djibouti,12509,748.7,68.40111779899985,15,5,20
Djibouti,12673,492.75,68.40119032000007,20,5,20
Djibouti,12466,385.42,68.4011916689999,80,5,20
Djibouti,12875,571.73,68.401391289,85,5,20
Djibouti,12851,560.6,68.40162422999992,90,5,20
Djibouti,10510,440.72,68.4014814090001,5,5,85
Djibouti,10584,507.2,68.40107219900028,10,5,85
Djibouti,11042,932.55,68.40152309899986,15,5,85
Djibouti,10711,561.71,68.40164813000001,20,5,85
Djibouti,10498,745.41,68.40169433900019,80,5,85
Djibouti,10561,1014.53,68.40170997999985,85,5,85
Djibouti,10852,859.26,68.40143448900017,90,5,85
Djibouti,23719,969.46,68.40151904899994,5,5,90
Djibouti,24227,867.63,68.40198477000013,10,5,90
Djibouti,24743,900.26,68.4016315189997,15,5,90
Djibouti,24329,1406.17,68.40155228000003,20,5,90
Djibouti,24182,1303.03,68.40169241000012,80,5,90
Djibouti,23880,1110.56,68.40139097899964,85,5,90
Djibouti,24088,1323.55,68.40162545000021,90,5,90
Djibouti,23903,749.11,68.40161572900024,5,5,95
Djibouti,24037,1292.32,68.40157516,10,5,95
Djibouti,24602,1446.33,68.40176405900002,15,5,95
Djibouti,23751,1136.18,68.40161889900037,20,5,95
Djibouti,24621,840.0,68.40174636000029,80,5,95
Djibouti,24090,995.57,68.40133621899986,85,5,95
Djibouti,24854,898.72,68.40115447900007,90,5,95
Djibouti,24305,818.19,68.40164327000002,5,5,100
Djibouti,24465,1001.19,68.40144067900019,10,5,100
Djibouti,23854,734.76,68.40156480999985,15,5,100
Djibouti,24019,809.26,68.40175311999974,20,5,100
Djibouti,24876,736.18,68.4015133390003,80,5,100
Djibouti,25026,1213.02,68.4012906590001,85,5,100
Djibouti,24256,955.96,68.401517969,90,5,100
Djibouti,12680,469.28,68.40122790999976,5,10,5
Djibouti,12637,477.95,68.40184295900008,10,10,5
Djibouti,12951,256.12,68.40142278799976,15,10,5
Djibouti,12647,695.71,68.4013616899997,20,10,5
Djibouti,12639,529.37,68.4018706199995,80,10,5
Djibouti,12755,415.12,68.40156144899993,85,10,5
Djibouti,12611,440.73,68.40146822999941,90,10,5
Djibouti,12775,419.02,68.40130162900005,5,10,10
Djibouti,12746,453.85,68.40170337000018,10,10,10
Djibouti,12870,397.54,68.40144707899981,15,10,10
Djibouti,12777,343.09,68.40155402900018,20,10,10
Djibouti,12777,693.12,68.40142371999991,80,10,10
Djibouti,12576,441.98,68.40165796800011,85,10,10
Djibouti,12859,447.95,68.40160010999989,90,10,10
Djibouti,12743,606.54,68.4015552789997,5,10,15
Djibouti,12682,510.76,68.40180222899926,10,10,15
Djibouti,12723,555.62,68.40143351000006,15,10,15
Djibouti,13038,463.11,68.40130439899986,20,10,15
Djibouti,12734,466.87,68.40138415900037,80,10,15
Djibouti,12679,412.76,68.40165507799975,85,10,15
Djibouti,12925,549.83,68.40167992900024,90,10,15
Djibouti,12579,619.44,68.40121014899978,5,10,20
Djibouti,12907,402.42,68.40171251999982,10,10,20
Djibouti,13007,379.9,68.40131679899969,15,10,20
Djibouti,12814,333.47,68.40126435799993,20,10,20
Djibouti,12668,445.9,68.4013159290007,80,10,20
Djibouti,12809,502.16,68.4015052499999,85,10,20
Djibouti,12747,578.07,68.40154085999984,90,10,20
Djibouti,10565,775.9,68.4016395890003,5,10,85
Djibouti,10710,668.9,68.40167236900015,10,10,85
Djibouti,10686,770.99,68.40167987000041,15,10,85
Djibouti,10729,665.1,68.4010571990002,20,10,85
Djibouti,10888,1031.45,68.40161755000008,80,10,85
Djibouti,10632,893.77,68.40166584899998,85,10,85
Djibouti,10421,767.0,68.40139358999932,90,10,85
